Year,Month,Base,CPIi
2015,01,2015=100,99.46
2015,02,2015=100,99.51
2015,03,2015=100,99.59
2015,04,2015=100,99.44
2015,05,2015=100,99.54
2015,06,2015=100,100.24
2015,07,2015=100,100.1
2015,08,2015=100,100.67
2015,09,2015=100,100.67
2015,10,2015=100,100.72
2015,11,2015=100,100.13
2015,12,2015=100,99.89
2016,01,2015=100,99.85
2016,02,2015=100,99.88
2016,03,2015=100,100.1
2016,04,2015=100,100.1
2016,05,2015=100,100.35
2016,06,2015=100,100.58
2016,07,2015=100,100.62
2016,08,2015=100,100.83
2016,09,2015=100,100.81
2016,10,2015=100,101.03
2016,11,2015=100,101.08
2016,12,2015=100,101.35
2017,01,2015=100,101.58
2017,02,2015=100,101.25
2017,03,2015=100,101.32
2017,04,2015=100,101.37
2017,05,2015=100,101.33
2017,06,2015=100,101.62
2017,07,2015=100,101.83
2017,08,2015=100,102.3
2017,09,2015=100,102.39
2017,10,2015=100,102.47
2017,11,2015=100,102.38
2017,12,2015=100,102.39
2018,01,2015=100,102.64
2018,02,2015=100,102.41
2018,03,2015=100,102.51
2018,04,2015=100,102.5
2018,05,2015=100,102.83
2018,06,2015=100,103.13
2018,07,2015=100,103.78
2018,08,2015=100,104.01
2018,09,2015=100,104.08
2018,10,2015=100,104.67
2018,11,2015=100,104.41
2018,12,2015=100,104.22
2019,01,2015=100,104.6
2019,02,2015=100,104.8
2019,03,2015=100,105
2019,04,2015=100,104.97
2019,05,2015=100,105.13
2019,06,2015=100,105.32
2019,07,2015=100,105.39
2019,08,2015=100,105.65
2019,09,2015=100,105.91
2019,10,2015=100,105.93
2019,11,2015=100,105.74
2019,12,2015=100,105.86
2020,01,2015=100,105.83
2020,02,2015=100,105.51
2020,03,2015=100,105.11
2020,04,2015=100,105.21
2020,05,2015=100,105.19
2020,06,2015=100,105.39
2020,07,2015=100,105.53
2020,08,2015=100,105.59
2020,09,2015=100,105.48
2020,10,2015=100,105.68
2020,11,2015=100,105.85
2020,12,2015=100,105.91
2021,01,2015=100,106.23
2021,02,2015=100,106.76
2021,03,2015=100,106.82
2021,04,2015=100,107.04
2021,05,2015=100,107.51
2021,06,2015=100,107.81
2021,07,2015=100,108.53
2021,08,2015=100,109.78
2021,09,2015=100,110.37
2021,10,2015=100,111.55
2021,11,2015=100,111.6
2021,12,2015=100,111.41
2022,01,2015=100,114.22
2022,02,2015=100,114.55
2022,03,2015=100,115.88
2022,04,2015=100,115.27
2022,05,2015=100,116.35
2022,06,2015=100,116.98
2022,07,2015=100,118.52
2022,08,2015=100,119.7
2022,09,2015=100,121.01
2022,10,2015=100,122.36
2022,11,2015=100,125.96
2022,12,2015=100,126.03
2023,01,2015=100,127.66
2023,02,2015=100,127.97
2023,03,2015=100,128.11
2023,04,2015=100,128.65
2023,05,2015=100,128.93
2023,06,2015=100,129.97
2023,07,2015=100,131.25
2023,08,2015=100,129.45
2023,09,2015=100,131.19
2023,10,2015=100,130.57
2023,11,2015=100,130.9
2023,12,2015=100,131.76
